[NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 7ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 324ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x512 2048KB in 327ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x512 2048KB in 328ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 329ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 330ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 332ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x1024 8192KB in 339ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 384ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 77ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 80ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x512 2048KB in 81ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 347ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 427ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 914ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 921ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 570ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 515ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 856ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 1319ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 755ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 757ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 64x64 16KB in 101ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 101ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 104ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 536ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x256 512KB in 446ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x256 512KB in 458ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x128 128KB in 435ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x128 128KB in 436ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 277ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 550ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 508ms
