model_name,texture_name
HexShroud,D:\output\N1_rocket\textures\n1_back.png
N1_c1,D:\output\N1_rocket\textures\c1.png
N1_c3,D:\output\N1_rocket\textures\c3.png
N1_c4,D:\output\N1_rocket\textures\c4.png
N1_c5,D:\output\N1_rocket\textures\c5.png
N1_c6,D:\output\N1_rocket\textures\c6.png
N1_c6_solid,D:\output\N1_rocket\textures\c6.png
export_00_hull_color,D:\output\N1_rocket\textures\color_palette.png
export_01_deck_color,D:\output\N1_rocket\textures\color_palette.png
export_02_ship_bottom_color,D:\output\N1_rocket\textures\color_palette.png
export_03_anti_glare_color,D:\output\N1_rocket\textures\color_palette.png
export_04_brass,D:\output\N1_rocket\textures\color_palette.png
export_05_silver,D:\output\N1_rocket\textures\color_palette.png
export_06_black_iron_color,D:\output\N1_rocket\textures\color_palette.png
export_08_white,D:\output\N1_rocket\textures\color_palette.png
export_09_signal_light,D:\output\N1_rocket\textures\color_palette.png
export_10_signal_light_red,D:\output\N1_rocket\textures\color_palette.png
export_11_signal_light_green,D:\output\N1_rocket\textures\color_palette.png
export_12_infrared_filter,D:\output\N1_rocket\textures\color_palette.png
export_13_glass,D:\output\N1_rocket\textures\color_palette.png
export_14_handrail,D:\output\N1_rocket\textures\detail_atlas.png
export_15_wire_mesh,D:\output\N1_rocket\textures\detail_atlas.png
export_16_hedgehog,D:\output\N1_rocket\textures\color_palette.png
