mesh_name,texture_name,material_name,uv_note
export_00_hull_color,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_hull_color.004,atlas
export_01_deck_color,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_deck_color.004,atlas
export_02_ship_bottom_color,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_ship_bottom_color.004,atlas
export_03_anti_glare_color,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_anti_glare_color.004,atlas
export_04_brass,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_brass.004,atlas
export_05_silver,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_silver.004,atlas
export_06_black_iron_color,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_black_iron_color.004,atlas
export_08_white,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_white.004,atlas
export_09_signal_light,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_signal_light.004,atlas
export_10_signal_light_red,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_signal_light_red.004,atlas
export_11_signal_light_green,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_signal_light_green.004,atlas
export_12_infrared_filter,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_infrared_filter.004,atlas
export_13_glass,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_glass.004,atlas
export_14_handrail,D:\output\はるかぜ型護衛艦\textures\detail_atlas.png,std_handrail.004,atlas
export_15_wire_mesh,D:\output\はるかぜ型護衛艦\textures\detail_atlas.png,std_wire_mesh.004,atlas
export_16_hedgehog,D:\output\はるかぜ型護衛艦\textures\color_palette.png,std_hedgehog.004,atlas
