series_id,unit_id,variant,cam_name,game_namespace,vtable_addr,slot1_execute
,,,.?AVCCmdActionManager_Anchor@GAM@VDK@@,EXVS2,0x1415D4D40,0x14068E280
,,,.?AVCCmdActionManager_AssistHuunsaikiAbstract@EXVS2@@,EXVS2,0x1415FDB90,0x14068E280
,,,.?AVCCmdActionManager_AttachAbstract@GAM@VDK@@,EXVS2,0x1415D5360,0x14068E280
,,,.?AVCCmdActionManager_AttachReturn@GAM@VDK@@,EXVS2,0x1415D5DF8,0x14068E280
,,,.?AVCCmdActionManager_AttachToRadicon@GAM@VDK@@,EXVS2,0x1415D5F98,0x14068E280
,,,.?AVCCmdActionManager_AttachToRadiconReturn@GAM@VDK@@,EXVS2,0x1415D6030,0x14068E280
,,,.?AVCCmdActionManager_Boomerang@GAM@VDK@@,EXVS2,0x1415D4720,0x14068E280
,,,.?AVCCmdActionManager_Detonator@GAM@VDK@@,EXVS2,0x1415D4C70,0x14068E280
,,,.?AVCCmdActionManager_FreeFall@GAM@VDK@@,EXVS2,0x1415D3FC8,0x14068E280
,,,.?AVCCmdActionManager_FreeFall_Interaction@GAM@VDK@@,EXVS2,0x1415D45D0,0x14068E280
,,,.?AVCCmdActionManager_FreeFly@GAM@VDK@@,EXVS2,0x1415D49A0,0x14068E280
,,,.?AVCCmdActionManager_PutObj@GAM@VDK@@,EXVS2,0x1415D4450,0x14068E280
,,,.?AVCCmdActionManager_Radicon@GAM@VDK@@,EXVS2,0x1415D3F58,0x14068E280
,,,.?AVCCmdActionManager_Relay@GAM@VDK@@,EXVS2,0x1415DD258,0x14068E280
,,,.?AVCCmdActionManager_ShockHalo@GAM@VDK@@,EXVS2,0x1415D47C8,0x14068E280
,,,.?AVCCmdActionManager_StickAdapter@GAM@VDK@@,EXVS2,0x14134AE58,0x14068E280
,,,.?AVCCmdActionManager_Sticker@GAM@VDK@@,EXVS2,0x1415D4670,0x14068E280
,,,.?AVCCmdActionManager_StickerConnectLazer@GAM@VDK@@,EXVS2,0x1415D5930,0x14068E280
,,,.?AVCCmdActionManager_Summon@GAM@VDK@@,EXVS2,0x1415D4E60,0x14068E280
,,,.?AVCCmdActionManager_SummonDefence@GAM@VDK@@,EXVS2,0x14163D098,0x14068E280
,,,.?AVCCmdActionManager_SummonDefenceFormation@GAM@VDK@@,EXVS2,0x1415D5870,0x14068E280
,,,.?AVCCmdActionManager_SummonGrap@GAM@VDK@@,EXVS2,0x1415DDAD0,0x14068E280
,,,.?AVCCmdActionManager_SummonRush@GAM@VDK@@,EXVS2,0x1415D4F28,0x14068E280
,,,.?AVCCmdActionManager_SummonRushAttackNormal@GAM@VDK@@,EXVS2,0x1415D5198,0x14068E280
,,,.?AVCCmdActionManager_SummonRushShot@GAM@VDK@@,EXVS2,0x1415D5058,0x14068E280
,,,.?AVCCmdActionManager_SummonSlide@GAM@VDK@@,EXVS2,0x1415D5280,0x14068E280
,,,.?AVCCmdActionManager_SummonTukimatoi@GAM@VDK@@,EXVS2,0x14163E528,0x14068E280
,,,.?AVCCmdActionManager_SummonTukimatoiAndAction@GAM@VDK@@,EXVS2,0x1416F9B98,0x14068E280
,,,.?AVCCmdActionManager_Throw@GAM@VDK@@,EXVS2,0x1415D4080,0x14068E280
,,,.?AVCCmdActionManager_ThrowMortar@GAM@VDK@@,EXVS2,0x1415D4BA0,0x14068E280
,,,.?AVCCmdActionManager_ThrowPillar@GAM@VDK@@,EXVS2,0x1415D4A58,0x14068E280
,,,.?AVCCmdActionManager_ThrowReturn@GAM@VDK@@,EXVS2,0x1415D5ED0,0x14068E280
,,,.?AVCCmdActionManager_ThrowStopRotateOnStick@GAM@VDK@@,EXVS2,0x1415D4530,0x14068E280
000COMMON,000COMMON,001,DelayExplosion,EXVS2,0x141639AD8,0x14068E280
000COMMON,000COMMON,001,StickSaber,EXVS2,0x141639C40,0x14068E280
000COMMON,000COMMON,001,ThrowSaber,EXVS2,0x1415E78E8,0x14068E280
000COMMON,000COMMON,001,ThrowSaberRolling,EXVS2,0x1415E3E98,0x14068E280
001GUNDAM,001GUNDAM,001,HammerShot,EXVS2,0x141639FD8,0x14068E280
001GUNDAM,001GUNDAM,001,NapalmBomb,EXVS2,0x141639E00,0x14068E280
001GUNDAM,001GUNDAM,001,ThrowShield,EXVS2,0x141639EE0,0x14068E280
001GUNDAM,001GUNDAM,002,HammerShot,EXVS2,0x14163A268,0x14068E280
001GUNDAM,001GUNDAM,002,NapalmBomb,EXVS2,0x14163A090,0x14068E280
001GUNDAM,001GUNDAM,002,ThrowShield,EXVS2,0x14163A170,0x14068E280
001GUNDAM,002CHRGEL,001,BeamNaginata,EXVS2,0x14163A320,0x14068E280
001GUNDAM,002CHRGEL,001,BeamNaginataBoomerang,EXVS2,0x14163A3D8,0x14068E280
001GUNDAM,002CHRGEL,001,BeamnaginataThrow,EXVS2,0x14163A7D8,0x14068E280
001GUNDAM,002CHRGEL,001,HermesBit,EXVS2,0x14163A720,0x14068E280
001GUNDAM,002CHRGEL,001,HermesBody,EXVS2,0x14163A5D8,0x14068E280
001GUNDAM,002CHRGEL,001,HissatsuHermes,EXVS2,0x14163A4E0,0x14068E280
001GUNDAM,003ACGUY0,001,AcguyBall,EXVS2,0x14163A8D8,0x14068E280
001GUNDAM,003ACGUY0,001,AssistAcgAir,EXVS2,0x14163AD60,0x14068E280
001GUNDAM,003ACGUY0,001,AssistAcgGround,EXVS2,0x14163AC68,0x14068E280
001GUNDAM,003ACGUY0,001,AssistAgguyGround,EXVS2,0x14163AB38,0x14068E280
001GUNDAM,003ACGUY0,001,AssistJuagg,EXVS2,0x14163AA38,0x14068E280
001GUNDAM,004ZEONG0,001,HandFly,EXVS2,0x14163AF80,0x14068E280
001GUNDAM,004ZEONG0,001,HandPunch,EXVS2,0x14163AE30,0x14068E280
001GUNDAM,004ZEONG0,001,HeadBeam,EXVS2,0x14163B118,0x14068E280
001GUNDAM,005GYAN00,001,AdzamBeamBody,EXVS2,0x14163B5B8,0x14068E280
001GUNDAM,005GYAN00,001,AdzamBody,EXVS2,0x14163B3D0,0x14068E280
001GUNDAM,005GYAN00,001,AdzamLeader,EXVS2,0x14163B4B0,0x14068E280
001GUNDAM,005GYAN00,001,HydePump,EXVS2,0x14163B1F8,0x14068E280
001GUNDAM,005GYAN00,001,SuibakuMissile,EXVS2,0x14163B2D8,0x14068E280
001GUNDAM,006GMECHA,001,AssistHissatsuGFighter,EXVS2,0x14163B6B8,0x14068E280
001GUNDAM,006GMECHA,001,BullPurge,EXVS2,0x14163B758,0x14068E280
001GUNDAM,006GMECHA,001,MaPurge,EXVS2,0x14163B7F8,0x14068E280
001GUNDAM,007ZAKU2J,001,ThrowRockLarge,EXVS2,0x14163B8E8,0x14068E280
001GUNDAM,007ZAKU2J,001,ThrowRockLargeMortar,EXVS2,0x14163B9A0,0x14068E280
001GUNDAM,008CHARZK,001,StickerExplosion,EXVS2,0x14163BB20,0x14068E280
001GUNDAM,008CHARZK,001,ThrowHeathawk,EXVS2,0x14163BA80,0x14068E280
001GUNDAM,008CHARZK,001,ThrowMeteo,EXVS2,0x14163BC00,0x14068E280
001GUNDAM,010HMZK2M,001,AssistZaku,EXVS2,0x14163BD10,0x14068E280
001GUNDAM,015GCANON,001,ThrowRockLarge,EXVS2,0x14163BED0,0x14068E280
001GUNDAM,015GCANON,001,ThrowRockSmall,EXVS2,0x14163BDF0,0x14068E280
001GUNDAM,016GNTANK,001,ThrowCoreFighter,EXVS2,0x14163BFE0,0x14068E280
001GUNDAM,017DOM000,001,AssistDomGrap,EXVS2,0x14163C220,0x14068E280
001GUNDAM,017DOM000,001,AssistDomHissatsu,EXVS2,0x14163C0F0,0x14068E280
001GUNDAM,017DOM000,001,AssistDomShotSlide,EXVS2,0x14163C310,0x14068E280
001GUNDAM,017DOM000,001,AssistDomTsukimatoiShot,EXVS2,0x14163C408,0x14068E280
001GUNDAM,017DOM000,001,AssistDomWinloseLeft,EXVS2,0x14163C4B8,0x14068E280
002ZGUNDM,001ZGUNDM,001,BeamConfuse,EXVS2,0x14163C578,0x14068E280
002ZGUNDM,002HYAKSK,001,Dodai,EXVS2,0x14163C768,0x14068E280
002ZGUNDM,002HYAKSK,001,Mega,EXVS2,0x14163C808,0x14068E280
002ZGUNDM,002HYAKSK,001,Methuss,EXVS2,0x14163C688,0x14068E280
002ZGUNDM,004THEO00,001,AssistBolinoakSammahn,EXVS2,0x14163D170,0x14068E280
002ZGUNDM,004THEO00,001,AssistPalaceAthene,EXVS2,0x14163CC38,0x14068E280
002ZGUNDM,005GUNMK2,001,GDefenserBody,EXVS2,0x14163D410,0x14068E280
002ZGUNDM,005GUNMK2,001,GDefenserKatu,EXVS2,0x14163D330,0x14068E280
002ZGUNDM,005GUNMK2,001,ThrowKatu,EXVS2,0x14163D250,0x14068E280
002ZGUNDM,006HAMBRB,001,AssistHambrabi,EXVS2,0x14163D500,0x14068E280
002ZGUNDM,006HAMBRB,001,AssistHambrabiAbstract,GAM@VDK,0x14166DBC0,0x14068E280
002ZGUNDM,006HAMBRB,001,UmihebiExplosion,EXVS2,0x14163D5A0,0x14068E280
002ZGUNDM,006HAMBRB,001,UmihebiModoki,EXVS2,0x14163D680,0x14068E280
002ZGUNDM,011RKDIAS,001,MochiLauncher,EXVS2,0x14163D768,0x14068E280
002ZGUNDM,013MARASI,001,AssistMarasai,EXVS2,0x14163D860,0x14068E280
002ZGUNDM,014GABTLY,001,ExplosionSaber,EXVS2,0x14163D900,0x14068E280
002ZGUNDM,018DIJEH0,001,BeamRifleThrow,EXVS2,0x14163D9C0,0x14068E280
002ZGUNDM,018DIJEH0,001,Dodai,EXVS2,0x14163DAA0,0x14068E280
003ZZGNDM,002QUBMK2,001,AssistBawoo,EXVS2,0x14163E298,0x14068E280
003ZZGNDM,002QUBMK2,001,AssistBawooTokimatoiShot,EXVS2,0x14163E5E0,0x14068E280
003ZZGNDM,002QUBMK2,001,FunnelControl,EXVS2,0x14163DE78,0x14068E280
003ZZGNDM,002QUBMK2,001,FunnelFlyShot,EXVS2,0x14163E728,0x14068E280
003ZZGNDM,002QUBMK2,001,FunnelPutAbstract,EXVS2,0x14163DBE8,0x14068E280
003ZZGNDM,002QUBMK2,001,FunnelShot,EXVS2,0x14163DD30,0x14068E280
003ZZGNDM,002QUBMK2,001,FunnelYokoretsuDynamic,EXVS2,0x14163E018,0x14068E280
003ZZGNDM,002QUBMK2,001,HissatsuAutoFunnel,EXVS2,0x14163E410,0x14068E280
003ZZGNDM,002QUBMK2,001,HissatsuFunnel,EXVS2,0x14163E190,0x14068E280
003ZZGNDM,002QUBMK2,001,ResidingObjectQubeleyFunnel,EXVS2,0x14163E7C8,0x14068E280
003ZZGNDM,003QUBELY,001,AssistHammahamma,EXVS2,0x14163F208,0x14068E280
003ZZGNDM,003QUBELY,001,AssistRjarja,EXVS2,0x14163F2F0,0x14068E280
003ZZGNDM,003QUBELY,001,FunnelLaser,EXVS2,0x14163F0F8,0x14068E280
003ZZGNDM,003QUBELY,001,FunnelNet,EXVS2,0x14163EF60,0x14068E280
003ZZGNDM,003QUBELY,001,FunnelPodlaunch,EXVS2,0x14163EC50,0x14068E280
003ZZGNDM,003QUBELY,001,FunnelPutAbstract,EXVS2,0x14163E918,0x14068E280
003ZZGNDM,003QUBELY,001,FunnelStay,EXVS2,0x14163EA68,0x14068E280
003ZZGNDM,003QUBELY,001,HissatsuFunnel,EXVS2,0x14163EDC8,0x14068E280
003ZZGNDM,003QUBELY,001,ResidingObjectQubeleyFunnel,EXVS2,0x14163EB08,0x14068E280
003ZZGNDM,003QUBELY,001,Winlose,EXVS2,0x14163F398,0x14068E280
003ZZGNDM,004ZAK3CM,001,HydePump,EXVS2,0x14163F478,0x14068E280
003ZZGNDM,005ACGYHM,001,AssistAcgAir,EXVS2,0x14163FA18,0x14068E280
003ZZGNDM,005ACGYHM,001,AssistAcgGround,EXVS2,0x14163FB18,0x14068E280
003ZZGNDM,005ACGYHM,001,AssistAgguyGround,EXVS2,0x14163FC18,0x14068E280
003ZZGNDM,005ACGYHM,001,AssistJuagg,EXVS2,0x14163FD30,0x14068E280
003ZZGNDM,006ZGNDRU,001,ShotWireAnchor,EXVS2,0x14163FE00,0x14068E280
003ZZGNDM,012ZZNRML,001,AssistCoreBase,EXVS2,0x14163F920,0x14068E280
003ZZGNDM,012ZZNRML,001,AssistCoreTop,EXVS2,0x14163F828,0x14068E280
003ZZGNDM,012ZZNRML,001,AssistNeoCoreFighter,EXVS2,0x14163F730,0x14068E280
003ZZGNDM,012ZZNRML,001,BunriBottom,EXVS2,0x14163F550,0x14068E280
003ZZGNDM,012ZZNRML,001,HissatsuPartsAbstract,EXVS2,0x14163F638,0x14068E280
003ZZGNDM,013QUB2BL,001,FunnelFlyShot,EXVS2,0x1416408E0,0x14068E280
003ZZGNDM,013QUB2BL,001,FunnelFlyShotUnizon,EXVS2,0x141640A28,0x14068E280
003ZZGNDM,013QUB2BL,001,FunnelShot,EXVS2,0x14163FF98,0x14068E280
003ZZGNDM,013QUB2BL,001,FunnelShotDoubleMove,EXVS2,0x141640130,0x14068E280
003ZZGNDM,013QUB2BL,001,FunnelShotDoubleStay,EXVS2,0x1416402C8,0x14068E280
