class_series,class_unit,class_variant,class_weapon,base_class,visibility,is_virtual,mdisp,pdisp,vdisp,attributes
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_BeamBoomerang@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskAutomataBoomerang@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,BeamBoomerang,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,BeamBoomerang,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,BeamBoomerang,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,BeamBoomerang,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_DelayExplosion@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
