series_id,unit_id,variant,weapon_name,game_namespace,archetype,vtable_addr,class_id,object_size,override_count,overridden_slots,slot_0_destructor,slot_2_oninit,slot_12_onupdate,slot_28_classid_fn,slot_54_canhit,slot_55_cancel,slot_78_factory,slot_79_configdmg,slot_81_createcam,slot_84_config,base_classes
000COMMON,000COMMON,001,BeamBoomerang,EXVS2,Boomerang,0x1413E3A90,465,0x1C0,11,0;12;73;78;79;81;84;87;88;89;91,0x14092A700,0x1406A5BA0,0x140DDD470,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094DF10,0x140F3A650,0x140DDD2D0,0x140DDCAC0,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_BeamBoomerang@EXVS2@@|.?AVCUnitTaskAutomataBoomerang@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,DelayExplosion,EXVS2,Throw,0x1413E2140,465,0x1C0,10,0;22;76;78;79;81;84;87;88;91,0x14092A3E0,0x1406A5BA0,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094E8C0,0x140F388E0,0x140F38890,0x140F41EF0,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_DelayExplosion@EXVS2@@|.?AVCUnitTaskAutomataThrow@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,FreeFall,EXVS2,FreeFall,0x1413E1E18,465,0x1C0,10,0;2;22;25;49;78;79;81;84;89,0x14092A3E0,0x140F76310,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094DF60,0x140DDC8C0,0x140F387C0,0x140DDC890,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_FreeFall@EXVS2@@|.?AVCUnitTaskAutomataFreeFall@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,FreeFall_Interaction,EXVS2,FreeFall_Interaction,0x1413E2DE0,465,0x1C0,10,0;2;22;49;78;79;81;84;87;89,0x14092A3E0,0x140F75740,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094DF60,0x140DDCF80,0x140F399F0,0x140DDCDC0,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_FreeFall_Interaction@EXVS2@@|.?AVCUnitTaskAutomataFreeFall_Interaction@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,PurgeFly,EXVS2,FreeFly,0x1413E4A58,465,0x1C0,6,0;78;79;81;84;88,0x14092A3E0,0x1406A5BA0,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094DFB0,0x140DDF520,0x140F3A9E0,0x140DDF4F0,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_PurgeFly@EXVS2@@|.?AVCUnitTaskAutomataFreeFly@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,PutObj,EXVS2,PutObj,0x1413E2468,465,0x1D0,10,0;2;78;79;80;81;84;88;89;90,0x14092A040,0x140F76310,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094E380,0x140F38EC0,0x140F38910,0x140E28260,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_PutObj@EXVS2@@|.?AVCUnitTaskAutomataPutObj@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,ShockHalo,EXVS2,ShockHalo,0x1413E40E0,465,0x1C0,8,0;2;12;78;79;81;84;88,0x14092A700,0x140F8D340,0x140DDD790,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094EDF0,0x140E26910,0x140DDD530,0x140E28260,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ShockHalo@EXVS2@@|.?AVCUnitTaskAutomataShockHalo@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,StickSaber,EXVS2,Sticker,0x1413E3108,465,0x1C0,8,0;2;78;79;81;84;89;91,0x14092A700,0x140DDD100,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094E4D0,0x140F46350,0x140F39C10,0x140E28260,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_StickSaber@EXVS2@@|.?AVCUnitTaskAutomataSticker@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
000COMMON,000COMMON,001,ThrowBlade,EXVS2,ThrowBlade,0x1413E4730,465,0x1D0,11,0;2;22;76;78;79;81;84;87;88;89,0x14092A100,0x140DDE490,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094E910,0x140F3A920,0x140DDC8E0,0x140F41EF0,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowBlade@EXVS2@@|.?AVCUnitTaskAutomataThrowBlade@GAM@VDK@@|.?AVCUnitTaskAutomataThrow@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@
000COMMON,000COMMON,001,ThrowMissile,EXVS2,Throw,0x1413E3440,465,0x1C0,10,0;22;76;78;79;81;84;87;88;89,0x14092A3E0,0x1406A5BA0,0x1406A5B30,0x1406A5170,0x1406A5980,0x1406A57D0,0x14094E8C0,0x140F52EA0,0x140F3A0C0,0x140F3A140,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowMissile@EXVS2@@|.?AVCUnitTaskAutomataThrow@GAM@VDK@@|.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@|.?AVCUnitTaskAutomataRadicon@GAM@VDK@@|.?AVCUnitTaskAutomataAbstract@GAM@VDK@@|.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@|.?AVCUnitTaskActorAbstract@GAM@VDK@@|.?AVCUnitTaskBattleAbstract@GAM@VDK@@
