# Generated by tools/param_evidence_registry.py. Do not hand-edit; regenerate.
file_type	hash	canonical_key	kind	grade	mechanism	distinct_values	citation
speedparam	0x06d1922d	movement_channel_4_base_vector_scale_percent_06d1922d	2	B	msc_sys_0	2	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x086b475d	heading_adjustment_mid_distance_threshold	2	B	msc_sys_0	3	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x0b6480d5	unresolved_008	2	U	no_reader_found	2	docs/speedparam-msc-consumer-evidence.md;inline-annotation
speedparam	0x0b9ebece	decaying_move_magnitude_initial	2	R-fixed	msc_sys_0	3	docs/speedparam-msc-consumer-evidence.md;docs/param-research/;inline-annotation
speedparam	0x0cf37ad7	floored_move_magnitude_delta	2	R-fixed	msc_sys_0	2	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x0d5bb2ef	unresolved_014	2	U	no_reader_found	3	docs/speedparam-msc-consumer-evidence.md;inline-annotation
speedparam	0x0e682ba8	air_step_speed_terminal	2	B	msc_sys_0	11	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x11ffddb4	boost_ascent_vertical_speed_initial	2	R-fixed	msc_sys_0	12	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x17a9d82d	boost_ascent_horizontal_speed_delta	2	R-fixed	msc_sys_0	9	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x18895a55	transform_roll_neutral_retention	2	R-fixed	msc_sys_0	3	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x29aa8a04	unresolved_028	2	U	no_reader_found	2	docs/speedparam-msc-consumer-evidence.md;inline-annotation
speedparam	0x2c76d0a7	unresolved_02c	2	U	no_reader_found	1	docs/speedparam-msc-consumer-evidence.md;inline-annotation
speedparam	0x2d28cc4b	transform_roll_response	2	R-fixed	msc_sys_0	4	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
speedparam	0x2df7af95	boost_dash_loop_timer	2	B	msc_sys_0	1	docs/speedparam-msc-consumer-evidence.md;docs/param-research/
